medidor,mes_dt,criterio,valor,kwh,kwh_prev
1100.1.98,2025-03-01,cambio_abrupto,-0.5,46.0,92.0
1100.1.99,2025-03-01,cambio_abrupto,-0.5158450704225352,550.0,1136.0
1100.1008.9.22,2025-03-01,cambio_abrupto,-1.0,0.0,2.0
1100.1008.9.30,2025-03-01,cambio_abrupto,2.3333333333333335,10.0,3.0
1100.1009.17,2025-03-01,cambio_abrupto,-1.0,0.0,52.0
1100.1009.2,2025-03-01,cambio_abrupto,2.0,3.0,1.0
1100.1009.7,2025-03-01,cambio_abrupto,-0.7142857142857143,4.0,14.0
1100.11.6904,2025-03-01,cambio_abrupto,5.970494417862839,8741.0,1254.0
1100.130.6,2025-03-01,cambio_abrupto,-1.0,0.0,20.0
1100.1323.9,2025-03-01,robust_z,5.588637721377503,41.0,65.0
1100.138.2,2025-03-01,cambio_abrupto,-1.0,0.0,200.0
1100.138.2,2025-03-01,robust_z,-5.395926075812762,0.0,200.0
1100.3288.2.56,2025-03-01,robust_z,5.73317145555106,393.0,321.0
1100.3288.2.58,2025-03-01,robust_z,4.833850442915598,49.0,36.0
1100.3289.1.12,2025-03-01,robust_z,36.96209361931742,144.0,91.0
1100.3290.3.15,2025-03-01,robust_z,65.42560366922973,49.0,51.0
1100.3290.3.19,2025-03-01,cambio_abrupto,2.142857142857143,22.0,7.0
1100.3290.3.20,2025-03-01,cambio_abrupto,12.0,39.0,3.0
1100.3290.3.9,2025-03-01,cambio_abrupto,-1.0,0.0,1.0
1100.4131.2,2025-03-01,cambio_abrupto,-0.5067155067155067,404.0,819.0
1100.4310,2025-03-01,robust_z,8.18382121498269,198.0,324.0
1100.4327,2025-03-01,robust_z,5.375486961889228,148.0,145.0
1100.4354.1,2025-03-01,cambio_abrupto,-0.508641975308642,199.0,405.0
1100.4356.25,2025-03-01,cambio_abrupto,-1.0,0.0,4.0
1100.4356.40,2025-03-01,robust_z,14.357017594573241,79.0,136.0
1100.4382,2025-03-01,cambio_abrupto,18.555555555555557,176.0,9.0
1100.4382,2025-03-01,robust_z,19.11057151850353,176.0,9.0
1100.4389,2025-03-01,robust_z,4.906376331031361,367.0,529.0
1100.4394,2025-03-01,robust_z,4.196831392298814,313.0,514.0
1100.4395,2025-03-01,cambio_abrupto,-0.5,5.0,10.0
1100.4404.1,2025-03-01,cambio_abrupto,-0.5208333333333334,69.0,144.0
1100.515.5,2025-03-01,cambio_abrupto,3.185,837.0,200.0
1100.515.5,2025-03-01,robust_z,10.247383707228753,837.0,200.0
1100.6049.7,2025-03-01,cambio_abrupto,-0.5015873015873016,314.0,630.0
1100.6094.7,2025-03-01,cambio_abrupto,-0.76,36.0,150.0
1100.6276.5,2025-03-01,cambio_abrupto,2.076923076923077,240.0,78.0
1100.6360,2025-03-01,cambio_abrupto,-0.6956521739130435,210.0,690.0
1100.6620,2025-03-01,cambio_abrupto,-0.7378309137489325,307.0,1171.0
1100.6687.8.15,2025-03-01,robust_z,4.046944556859571,1639.0,730.0
1100.6689.8,2025-03-01,robust_z,10.148396243045092,9031.0,8917.0
1100.6728,2025-03-01,cambio_abrupto,-0.635593220338983,86.0,236.0
1100.7015.6,2025-03-01,cambio_abrupto,35.154761904761905,3037.0,84.0
1100.7016,2025-03-01,cambio_abrupto,-1.0,0.0,12487.0
1100.7022,2025-03-01,cambio_abrupto,-1.0,0.0,1040.0
1100.7024,2025-03-01,cambio_abrupto,-1.0,0.0,5.0
1100.7040.10,2025-03-01,cambio_abrupto,-1.0,0.0,31.0
1100.7040.11,2025-03-01,cambio_abrupto,-1.0,0.0,5.0
1100.7040.2,2025-03-01,cambio_abrupto,-1.0,0.0,4.0
1100.7040.9,2025-03-01,cambio_abrupto,-0.5,10.0,20.0
1100.7059.1,2025-03-01,cambio_abrupto,-1.0,0.0,30.0
1100.7083,2025-03-01,cambio_abrupto,-1.0,0.0,5569.0
1100.7083,2025-03-01,robust_z,-5.005130794563443,0.0,5569.0
1100.7095,2025-03-01,cambio_abrupto,-0.6702230843840931,1360.0,4124.0
1100.7098.15,2025-03-01,cambio_abrupto,-0.7119565217391305,212.0,736.0
1100.7098.6,2025-03-01,cambio_abrupto,-0.560789174672038,4252.0,9681.0
1100.7098.7,2025-03-01,robust_z,51.91713896561092,8460.0,0.0
112.2516.3.70,2025-03-01,robust_z,4.890058006205315,17.0,21.0
113,2025-03-01,cambio_abrupto,-1.0,0.0,581.0
113.6942.3,2025-03-01,cambio_abrupto,2.3264604810996565,968.0,291.0
113.6942.7,2025-03-01,robust_z,6.085405518833282,1135.0,466.0
113.6958.3,2025-03-01,cambio_abrupto,-0.5882352941176471,7.0,17.0
114.3123.1,2025-03-01,cambio_abrupto,-0.5336538461538461,97.0,208.0
115.10,2025-03-01,robust_z,10.233652902403513,490.0,574.0
115.4.1,2025-03-01,robust_z,4.839203544181286,326.0,429.0
115.5,2025-03-01,robust_z,4.605507217051127,396.0,618.0
115.8,2025-03-01,robust_z,4.616046135167949,201.0,219.0
117.1.4,2025-03-01,cambio_abrupto,2.0,3.0,1.0
117.1224.4,2025-03-01,cambio_abrupto,-0.5558739255014327,310.0,698.0
117.1224.5,2025-03-01,cambio_abrupto,-0.5561426684280053,336.0,757.0
118.1224.7,2025-03-01,cambio_abrupto,-0.6267029972752044,137.0,367.0
1200.1.3,2025-03-01,cambio_abrupto,7.611111111111111,465.0,54.0
121.11.1303.5,2025-03-01,cambio_abrupto,-0.5746268656716418,114.0,268.0
121.12,2025-03-01,cambio_abrupto,-0.6091549295774648,222.0,568.0
121.1872.8,2025-03-01,cambio_abrupto,-0.639344262295082,88.0,244.0
121.4,2025-03-01,robust_z,5.989880625202599,905.0,1530.0
121.8,2025-03-01,cambio_abrupto,-0.5151515151515151,288.0,594.0
122.1311.1,2025-03-01,cambio_abrupto,-0.5616113744075829,185.0,422.0
122.5,2025-03-01,cambio_abrupto,-0.5185185185185185,286.0,594.0
122.6945,2025-03-01,cambio_abrupto,-1.0,0.0,90.0
124.1212.1.35,2025-03-01,cambio_abrupto,-0.586272040302267,657.0,1588.0
127.1215.5,2025-03-01,cambio_abrupto,-0.6023391812865497,136.0,342.0
127.1216.5,2025-03-01,cambio_abrupto,-0.6424778761061947,202.0,565.0
127.2,2025-03-01,cambio_abrupto,-0.5707317073170731,352.0,820.0
127.2451.3,2025-03-01,cambio_abrupto,-1.0,0.0,6.0
127.2452,2025-03-01,robust_z,5.682584648590315,199.0,156.0
127.3.1219,2025-03-01,robust_z,4.7753945770942945,268.0,323.0
128.1,2025-03-01,cambio_abrupto,-0.7095238095238096,61.0,210.0
128.2450.4.1,2025-03-01,robust_z,5.447809980387885,118.0,159.0
128.9,2025-03-01,robust_z,4.384189936597869,379.0,458.0
129...2386,2025-03-01,cambio_abrupto,-0.5483870967741935,84.0,186.0
129.3.1,2025-03-01,cambio_abrupto,-0.5094339622641509,130.0,265.0
129.4,2025-03-01,cambio_abrupto,-0.65625,33.0,96.0
129.4.1,2025-03-01,robust_z,4.28301632267638,145.0,129.0
129.5,2025-03-01,cambio_abrupto,-0.6193029490616622,142.0,373.0
129.6,2025-03-01,cambio_abrupto,-0.5630936227951153,322.0,737.0
13.1,2025-03-01,robust_z,4.193219661324375,387.0,545.0
13.1.3,2025-03-01,robust_z,4.414167303685717,426.0,444.0
13.12,2025-03-01,cambio_abrupto,-0.5528846153846154,93.0,208.0
13.20,2025-03-01,robust_z,8.62384613902218,189.0,266.0
13.24,2025-03-01,robust_z,7.002801120448179,382.0,365.0
13.6,2025-03-01,cambio_abrupto,2.1574074074074074,341.0,108.0
13.6.6686.1,2025-03-01,cambio_abrupto,2.1854031783402,10824.0,3398.0
13.9..9192,2025-03-01,robust_z,6.250726246238546,538.0,553.0
130.13.2.9099,2025-03-01,cambio_abrupto,-0.6866666666666666,94.0,300.0
130.15..1208,2025-03-01,cambio_abrupto,-0.5604395604395604,200.0,455.0
130.4,2025-03-01,cambio_abrupto,-0.510752688172043,91.0,186.0
131.11,2025-03-01,cambio_abrupto,-0.6701388888888888,95.0,288.0
131.6,2025-03-01,cambio_abrupto,-0.5268817204301075,176.0,372.0
132.11,2025-03-01,cambio_abrupto,-0.5187032418952618,386.0,802.0
132.13,2025-03-01,cambio_abrupto,-1.0,0.0,5.0
132.2,2025-03-01,robust_z,9.18993659786861,117.0,122.0
133.1248.5,2025-03-01,cambio_abrupto,-0.5229681978798587,270.0,566.0
133.1248.5,2025-03-01,robust_z,5.395926075812762,270.0,566.0
133.133.3,2025-03-01,cambio_abrupto,-0.5088408644400786,250.0,509.0
133.2383.2,2025-03-01,robust_z,7.098212278301311,181.0,243.0
134.1,2025-03-01,cambio_abrupto,-0.5,2.0,4.0
134.1140.1,2025-03-01,cambio_abrupto,-0.6021739130434782,366.0,920.0
134.12,2025-03-01,cambio_abrupto,-0.5587349397590361,293.0,664.0
134.7.1,2025-03-01,cambio_abrupto,-0.5124056094929881,452.0,927.0
135.12.1,2025-03-01,cambio_abrupto,-0.6073752711496746,181.0,461.0
135.6968.1,2025-03-01,cambio_abrupto,-1.0,0.0,1.0
137.6939.1,2025-03-01,cambio_abrupto,-0.9358490566037736,17.0,265.0
138.1,2025-03-01,cambio_abrupto,-0.5096618357487923,406.0,828.0
138.12,2025-03-01,robust_z,6.217961688924862,262.0,341.0
138.13,2025-03-01,cambio_abrupto,-0.6731583403895004,386.0,1181.0
138.13,2025-03-01,robust_z,5.3301220992784595,386.0,1181.0
138.14,2025-03-01,robust_z,8.59351189851662,383.0,405.0
138.15,2025-03-01,robust_z,4.089100229326858,112.0,179.0
138.2,2025-03-01,cambio_abrupto,-0.5,2.0,4.0
138.4..1270,2025-03-01,cambio_abrupto,-0.6205128205128205,592.0,1560.0
138.4..1270,2025-03-01,robust_z,6.3084723974575665,592.0,1560.0
138.9,2025-03-01,cambio_abrupto,-0.5090655509065551,704.0,1434.0
139.2.1,2025-03-01,cambio_abrupto,-0.9287749287749287,25.0,351.0
139.5.2,2025-03-01,cambio_abrupto,-0.6730290456431536,394.0,1205.0
139.5.5,2025-03-01,cambio_abrupto,-0.560875512995896,321.0,731.0
139.5.5,2025-03-01,robust_z,4.138091956788841,321.0,731.0
139.8..9663,2025-03-01,robust_z,4.721435316336167,81.0,158.0
139.8.1,2025-03-01,robust_z,5.4333977846725725,225.0,84.0
14.3266.3.2,2025-03-01,cambio_abrupto,2.2,32.0,10.0
14.6.1,2025-03-01,cambio_abrupto,-0.9621212121212122,5.0,132.0
14.6.2,2025-03-01,cambio_abrupto,-0.5,2.0,4.0
140.1,2025-03-01,cambio_abrupto,-0.7118402282453637,404.0,1402.0
140.10.9.1857,2025-03-01,robust_z,4.642853868630155,1150.0,1707.0
140.1088.2,2025-03-01,cambio_abrupto,14.0,15.0,1.0
140.1088.3,2025-03-01,robust_z,8.318719366878007,20.0,39.0
140.14,2025-03-01,robust_z,5.184321131663241,390.0,412.0
140.9,2025-03-01,cambio_abrupto,-0.9696969696969697,1.0,33.0
140.9,2025-03-01,robust_z,-4.5287236707714245,1.0,33.0
141.2.1,2025-03-01,robust_z,5.20321443024802,131.0,201.0
142.12,2025-03-01,cambio_abrupto,-0.5454545454545454,5.0,11.0
143.1.1556,2025-03-01,robust_z,7.296763670701348,218.0,220.0
143.1318.4,2025-03-01,cambio_abrupto,-1.0,0.0,4.0
143.14,2025-03-01,cambio_abrupto,-0.5444887118193891,343.0,753.0
143.6944,2025-03-01,cambio_abrupto,-0.8754140127388536,489.0,3925.0
143.6945.1,2025-03-01,cambio_abrupto,-0.9459459459459459,2.0,37.0
144.1032.1,2025-03-01,cambio_abrupto,-1.0,0.0,1.0
144.1037.3,2025-03-01,cambio_abrupto,-1.0,0.0,16.0
144.1039.2,2025-03-01,cambio_abrupto,-0.5363128491620112,166.0,358.0
144.13.2.6943,2025-03-01,cambio_abrupto,-0.536108751062022,546.0,1177.0
144.1327.3,2025-03-01,cambio_abrupto,-0.6,8.0,20.0
144.1327.3,2025-03-01,robust_z,4.721435316336167,8.0,20.0
144.1328.4,2025-03-01,cambio_abrupto,-0.7,15.0,50.0
144.1328.6,2025-03-01,cambio_abrupto,-0.636,91.0,250.0
144.2,2025-03-01,robust_z,25.92742479428032,498.0,489.0
144.4,2025-03-01,cambio_abrupto,5.733333333333333,101.0,15.0
144.5,2025-03-01,robust_z,26.492498163886268,401.0,261.0
144.9.1,2025-03-01,robust_z,4.446642784697553,193.0,244.0
146.3,2025-03-01,robust_z,5.0985699345381335,620.0,704.0
15.22.1,2025-03-01,cambio_abrupto,-0.6083333333333333,94.0,240.0
15.22.1,2025-03-01,robust_z,-6.622272911224753,94.0,240.0
15.7..3219,2025-03-01,robust_z,4.285342152881471,559.0,614.0
150.1,2025-03-01,cambio_abrupto,-0.5630434782608695,201.0,460.0
150.1188.5,2025-03-01,cambio_abrupto,-0.5098684210526315,149.0,304.0
150.1188.6,2025-03-01,cambio_abrupto,-0.5672413793103448,251.0,580.0
150.4..9445,2025-03-01,cambio_abrupto,-0.5314685314685315,67.0,143.0
150.7,2025-03-01,robust_z,4.027673392303097,245.0,288.0
151.2.1.9253,2025-03-01,cambio_abrupto,5.4375,103.0,16.0
151.2.1.9253,2025-03-01,robust_z,9.667700885831197,103.0,16.0
152.11,2025-03-01,robust_z,70.8215297450425,371.0,581.0
152.944.6,2025-03-01,cambio_abrupto,-0.6984924623115578,60.0,199.0
153.7.1,2025-03-01,cambio_abrupto,-0.5619047619047619,92.0,210.0
154.1,2025-03-01,cambio_abrupto,-0.5760869565217391,195.0,460.0
154.4.2,2025-03-01,cambio_abrupto,-0.5311004784688995,294.0,627.0
154.7.1,2025-03-01,cambio_abrupto,-0.5679513184584178,213.0,493.0
154.8,2025-03-01,robust_z,5.395926075812762,14.0,26.0
154.947.7,2025-03-01,cambio_abrupto,168.0,169.0,1.0
154.947.9,2025-03-01,cambio_abrupto,-0.6533333333333333,26.0,75.0
155.1.1,2025-03-01,robust_z,7.547004714143525,339.0,375.0
155.11,2025-03-01,robust_z,80.93889113719142,121.0,58.0
155.3,2025-03-01,cambio_abrupto,-0.5033783783783784,147.0,296.0
155.4.1,2025-03-01,robust_z,4.721435316336167,96.0,178.0
156.6961,2025-03-01,cambio_abrupto,2.1286141575274176,3138.0,1003.0
156.6963,2025-03-01,cambio_abrupto,3.1566265060240966,2070.0,498.0
156.6963.4,2025-03-01,cambio_abrupto,17.825,753.0,40.0
157.1,2025-03-01,cambio_abrupto,-0.5553359683794467,225.0,506.0
157.2.952,2025-03-01,cambio_abrupto,-1.0,0.0,3.0
157.5,2025-03-01,cambio_abrupto,6.375,59.0,8.0
157.9,2025-03-01,cambio_abrupto,-0.5146341463414634,199.0,410.0
158.1..952,2025-03-01,robust_z,5.240274362087393,201.0,118.0
158.10.958.3,2025-03-01,cambio_abrupto,-1.0,0.0,216.0
158.10.958.5,2025-03-01,cambio_abrupto,-0.5492957746478874,96.0,213.0
158.10.958.5,2025-03-01,robust_z,4.226808759386664,96.0,213.0
158.10.958.7,2025-03-01,cambio_abrupto,-0.5425531914893617,86.0,188.0
158.12,2025-03-01,cambio_abrupto,-0.5422740524781341,471.0,1029.0
158.21,2025-03-01,cambio_abrupto,-0.5290023201856149,203.0,431.0
158.2145.5,2025-03-01,robust_z,4.991231620126805,42.0,45.0
158.958.6,2025-03-01,cambio_abrupto,-0.5607763023493361,430.0,979.0
159.1,2025-03-01,cambio_abrupto,-0.5779816513761468,184.0,436.0
159.12,2025-03-01,cambio_abrupto,-0.7530487804878049,81.0,328.0
16.2,2025-03-01,cambio_abrupto,2.0,6.0,2.0
16.2970.7.10,2025-03-01,cambio_abrupto,-0.5302593659942363,163.0,347.0
16.4.1,2025-03-01,robust_z,5.257060331214639,255.0,394.0
16.5.3,2025-03-01,robust_z,6.520077341607087,355.0,457.0
160.13,2025-03-01,cambio_abrupto,-0.6551724137931034,20.0,58.0
160.16.1.6924,2025-03-01,robust_z,49.29563893546087,3890.0,4209.0
160.8,2025-03-01,robust_z,-4.196831392298814,117.0,214.0
161.12.967,2025-03-01,cambio_abrupto,-0.6274509803921569,152.0,408.0
161.12.967,2025-03-01,robust_z,5.896354703811525,152.0,408.0
161.2..98,2025-03-01,cambio_abrupto,-0.8392857142857143,18.0,112.0
161.3808,2025-03-01,cambio_abrupto,-0.573490813648294,650.0,1524.0
161.3812,2025-03-01,cambio_abrupto,-0.5305343511450382,123.0,262.0
161.3814.3,2025-03-01,robust_z,6.504018037810025,112.0,64.0
161.3814.6,2025-03-01,cambio_abrupto,-0.5207207207207207,532.0,1110.0
161.3820,2025-03-01,robust_z,4.384189936597869,55.0,67.0
161.3823,2025-03-01,robust_z,9.063469580466748,157.0,154.0
161.3824,2025-03-01,cambio_abrupto,-0.9931740614334471,2.0,293.0
161.3826,2025-03-01,robust_z,8.641912855793876,303.0,361.0
161.3827,2025-03-01,robust_z,8.471603939026036,236.0,87.0
161.3828,2025-03-01,cambio_abrupto,2.0,18.0,6.0
161.3828,2025-03-01,robust_z,7.4193983542425475,18.0,6.0
161.7,2025-03-01,robust_z,4.5965296201367964,274.0,252.0
161.9.1,2025-03-01,robust_z,9.375421556724673,208.0,317.0
162.12.3,2025-03-01,cambio_abrupto,-0.5350140056022409,166.0,357.0
162.15,2025-03-01,robust_z,5.142992041009038,229.0,231.0
162.2,2025-03-01,cambio_abrupto,-0.5643564356435643,44.0,101.0
163.11.976.7,2025-03-01,cambio_abrupto,-0.6059602649006622,119.0,302.0
163.13,2025-03-01,cambio_abrupto,-0.6094276094276094,116.0,297.0
163.16.1,2025-03-01,cambio_abrupto,-0.6602870813397129,142.0,418.0
163.1901.7,2025-03-01,cambio_abrupto,-1.0,0.0,1.0
163.974.7,2025-03-01,robust_z,4.1548630783758265,200.0,331.0
164.1.1,2025-03-01,robust_z,14.838796708485095,31.0,17.0
165.1,2025-03-01,cambio_abrupto,-0.558091286307054,213.0,482.0
165.14,2025-03-01,cambio_abrupto,-0.5051813471502591,191.0,386.0
165.14,2025-03-01,robust_z,4.162571544198416,191.0,386.0
165.1840.3,2025-03-01,robust_z,31.460176138444048,346.0,565.0
165.4.1842,2025-03-01,cambio_abrupto,-1.0,0.0,6.0
165.5,2025-03-01,robust_z,6.070416835289357,5.0,0.0
165.6,2025-03-01,cambio_abrupto,-0.52,120.0,250.0
165.759.9,2025-03-01,cambio_abrupto,-0.5666199158485273,309.0,713.0
166.10.1541.3,2025-03-01,cambio_abrupto,2.5384615384615383,46.0,13.0
167.10,2025-03-01,robust_z,8.195062727640632,187.0,209.0
167.17,2025-03-01,cambio_abrupto,-0.5945945945945946,15.0,37.0
167.17,2025-03-01,robust_z,-17.461816328671855,15.0,37.0
167.19,2025-03-01,cambio_abrupto,-0.5019354838709678,386.0,775.0
167.3,2025-03-01,robust_z,9.899143793494735,404.0,558.0
167.7,2025-03-01,cambio_abrupto,-0.5314009661835749,97.0,207.0
167.741.1,2025-03-01,robust_z,15.878636629344845,364.0,202.0
168.1020.3,2025-03-01,cambio_abrupto,-0.6311111111111111,747.0,2025.0
168.3..9206,2025-03-01,robust_z,5.599841886817313,365.0,406.0
169.2.1,2025-03-01,robust_z,4.119211423946349,169.0,160.0
169.9.1,2025-03-01,cambio_abrupto,-1.0,0.0,2.0
169.9.1.719,2025-03-01,cambio_abrupto,-0.6081771720613288,230.0,587.0
17.3178.2.80,2025-03-01,robust_z,4.897389427503974,379.0,549.0
171.3.1,2025-03-01,cambio_abrupto,-0.5123456790123457,158.0,324.0
172.606.5.15,2025-03-01,robust_z,10.033050047214354,127.0,158.0
173.2403.1.10,2025-03-01,robust_z,-7.1261415022962025,173.0,285.0
173.611.5,2025-03-01,robust_z,4.760536229929013,580.0,825.0
174.1,2025-03-01,cambio_abrupto,-0.7736842105263158,86.0,380.0
174.603,2025-03-01,cambio_abrupto,-0.784,54.0,250.0
174.9.1.1,2025-03-01,cambio_abrupto,-0.5035971223021583,207.0,417.0
174.9.7,2025-03-01,cambio_abrupto,-1.0,0.0,1.0
175.11,2025-03-01,cambio_abrupto,-0.5308219178082192,137.0,292.0
175.17,2025-03-01,cambio_abrupto,-0.7654320987654321,19.0,81.0
175.9,2025-03-01,cambio_abrupto,-0.5153508771929824,221.0,456.0
176.18,2025-03-01,robust_z,4.340674403728411,417.0,503.0
176.2,2025-03-01,cambio_abrupto,-0.585956416464891,171.0,413.0
176.20,2025-03-01,robust_z,14.646085062920353,290.0,310.0
176.8,2025-03-01,cambio_abrupto,-0.5555555555555556,76.0,171.0
177.12,2025-03-01,robust_z,5.6067044381491975,100.0,135.0
177.13.3,2025-03-01,cambio_abrupto,-0.5523978685612788,252.0,563.0
177.9,2025-03-01,cambio_abrupto,-0.5915492957746479,203.0,497.0
178.7.1,2025-03-01,robust_z,4.595530374567202,682.0,979.0
